city_id,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
1,Ushuaia,AR,53.26,-54.8,-68.3,broken clouds,Apart Hotel Aires del Beagle
2,Richards Bay,ZA,70.97,-28.783,32.0377,clear sky,Protea Hotel
3,Vaini,TO,80.76,-21.2,-175.2,light intensity drizzle,Keleti International Resort
5,Avarua,CK,80.65,-21.2078,-159.775,broken clouds,Paradise Inn
9,Peniche,PT,56.1,39.3558,-9.3811,overcast clouds,Residencial Maciel
13,Klaksvik,FO,29.32,62.2266,-6.589,snow,Hotel Klaksvik
14,Paamiut,GL,13.35,61.994,-49.6678,snow,Hotel Ivaana
15,Saint George,US,48.94,37.1041,-113.5841,clear sky,"The Advenire, an Autograph Collection Hotel"
16,Esperance,AU,73.47,-33.8667,121.9,overcast clouds,Hospitality
17,La Ronge,CA,14.25,55.1001,-105.2842,light snow,La Ronge Hotel and Suites
18,Bengkulu,ID,79.95,-3.8004,102.2655,scattered clouds,Dena Hotel
19,Iqaluit,CA,-22.27,63.7506,-68.5145,broken clouds,Frobisher Inn
20,Tasiilaq,GL,24.96,65.6145,-37.6368,overcast clouds,Angmagssalik
21,Rikitea,PF,78.19,-23.1203,-134.9692,clear sky,Chez Bianca & Benoit
24,Ponta Do Sol,PT,63.72,32.6667,-17.1,broken clouds,Estalagem Ponta do Sol
25,Olafsvik,IS,23.54,64.8945,-23.7142,few clouds,North Star Hotel Snæfellsnes
26,Vaitape,PF,79.05,-16.5167,-151.75,light rain,Oa Oa Lodge
30,Falmouth,GB,41.9,50.1544,-5.0711,overcast clouds,Broadmead Hotel
31,Sheffield,GB,39.15,53.383,-1.4659,overcast clouds,easyHotel Sheffield City Centre
32,Mount Isa,AU,82.17,-20.7333,139.5,overcast clouds,Ibis Styles
33,Georgetown,MY,82.33,5.4112,100.3354,few clouds,Page 63 hostel
34,Kapaa,US,80.92,22.0752,-159.319,clear sky,Pono Kai Resort
35,Castro,BR,64.9,-24.7911,-50.0119,overcast clouds,Hotel Central Palace
36,Talnakh,RU,-35.32,69.4865,88.3972,few clouds,Талнах
37,Half Moon Bay,US,50.31,37.4636,-122.4286,mist,Half Moon Bay Inn
40,Souillac,MU,79.18,-20.5167,57.5167,scattered clouds,Hotel SkylineInn
41,Lagoa,PT,54.01,39.05,-27.9833,few clouds,Casa da Madrinha
43,Natal,BR,79.45,-5.795,-35.2094,few clouds,Natal Palace Hotel
44,Goderich,CA,30.52,43.7501,-81.7165,overcast clouds,Hotel Bedford
45,Longyearbyen,SJ,17.44,78.2186,15.6401,scattered clouds,The Vault
46,Sao Filipe,CV,75.29,14.8961,-24.4956,broken clouds,Bela Vista
48,Fortuna,US,49.66,40.5982,-124.1573,few clouds,Comfort Inn & Suites Redwood Country
49,Thompson,CA,3.36,55.7435,-97.8558,light snow,Thompson Inn
52,Pochutla,MX,76.82,15.7432,-96.4661,clear sky,Posada San Jose
53,Kapit,MY,80.6,2.0167,112.9333,overcast clouds,Haip
54,Zaysan,KZ,-8.5,47.4667,84.8667,overcast clouds,Рахат қонақүй
55,Tagbac,PH,78.67,7.089,125.1567,overcast clouds,Sitio Maupot Family Resort
57,Quatre Cocos,MU,78.91,-20.2078,57.7625,scattered clouds,Horisun
58,Punta Arenas,CL,51.91,-53.15,-70.9167,light rain,Hotel Lacolet
59,Touros,BR,79.05,-5.1989,-35.4608,overcast clouds,Pousada Atlântico
60,Jamestown,US,23.18,42.097,-79.2353,clear sky,DoubleTree Jamestown
61,Tiksi,RU,-30.39,71.6872,128.8694,overcast clouds,Арктика
62,Lavrentiya,RU,-5.64,65.5833,-171.0,overcast clouds,Фортуна
63,Vardo,NO,33.78,70.3705,31.1107,light snow,Meieriet
64,Narsaq,GL,14.22,60.9167,-46.05,scattered clouds,Hotel Narsaq
67,Meulaboh,ID,75.56,4.1363,96.1285,scattered clouds,Hotel Meuligou
69,Atuona,PF,78.39,-9.8,-139.0333,overcast clouds,Pearl Resort
71,Malindi,KE,76.89,-3.2175,40.1191,broken clouds,Young Safari
72,New Norfolk,AU,67.91,-42.7826,147.0587,clear sky,Woodbridge on the Derwent
73,Hobart,AU,68.27,-42.8794,147.3294,broken clouds,Vibe Hotel Hobart
74,Turukhansk,RU,-19.86,65.8167,87.9833,overcast clouds,"Гостиница ОАО ""Туруханскэнерго"""
75,Puerto Ayora,EC,75.54,-0.7393,-90.3518,scattered clouds,Hostal La Mirada De Solitario George
78,Ilulissat,GL,14.02,69.2167,-51.1,light snow,Best Western Plus Hotel Ilulissat
80,Norman Wells,CA,-5.76,65.282,-126.8329,light snow,Yamouri Inn
81,Severo-Kurilsk,RU,16.86,50.6789,156.125,light snow,"""Дом рыбака"""
84,Acapulco,MX,80.42,16.8634,-99.8901,few clouds,Hotel del Valle
86,Zalantun,CN,-2.97,48.0,122.7167,overcast clouds,金百灵大酒店
88,Cape Town,ZA,70.21,-33.9258,18.4232,clear sky,Townhouse Hotel
89,Muros,ES,56.08,42.7762,-9.0603,overcast clouds,Pensión Ría de Muros
90,Bethel,US,35.51,41.3712,-73.414,clear sky,Hampton Inn Danbury
91,Houma,US,57.2,29.5958,-90.7195,overcast clouds,Courtyard by Marriott Houma
92,Cidreira,BR,73.11,-30.1811,-50.2056,overcast clouds,Hotel Castelo
93,Saint-Philippe,RE,74.79,-21.3585,55.7679,light rain,Le Baril
94,Mecca,SA,69.24,21.4267,39.8261,scattered clouds,Rehab Al Marwa Hotel 1
96,Nieuwpoort,BE,40.17,51.1244,2.7735,overcast clouds,Ibis Style Hotel
100,Bredasdorp,ZA,68.9,-34.5322,20.0403,overcast clouds,Victoria Hotel
101,San Pablo,PH,76.91,14.0669,121.3258,overcast clouds,Lolo Boyong's House
103,Storm Lake,US,36.64,42.6411,-95.2097,broken clouds,Super 8 Storm Lake
104,Karratha,AU,85.91,-20.7377,116.8463,broken clouds,Karratha International Hotel
105,Mar Del Plata,AR,70.09,-38.0023,-57.5575,scattered clouds,Nuevo Ostende
107,Hermanus,ZA,71.8,-34.4187,19.2345,overcast clouds,Aloe guest house
108,Haines Junction,CA,21.63,60.7522,-137.5108,overcast clouds,Parkside Inn
109,Qaanaaq,GL,-7.69,77.484,-69.3632,few clouds,Hotel Qaanaaq
110,Guerrero Negro,MX,64.51,27.9769,-114.0611,overcast clouds,Plaza sal paraiso
112,Noumea,NC,87.78,-22.2763,166.4572,broken clouds,Hotel Gondwana
114,Camacha,PT,60.22,33.0833,-16.3333,light rain,Praia Dourada
115,Nazarovo,RU,8.44,56.0064,90.3914,overcast clouds,Заря
117,Gornopravdinsk,RU,18.34,60.05,69.9,light snow,Гостинный двор
118,Ketchikan,US,37.87,55.3422,-131.6461,mist,Cape Fox Lodge
121,Lompoc,US,51.53,34.6391,-120.4579,overcast clouds,Embassy Suites by Hilton Lompoc Central Coast
124,Hofn,IS,24.28,64.2539,-15.2082,overcast clouds,Guesthouse Dyngja
125,North Bend,US,46.31,43.4065,-124.2243,broken clouds,The Mill Casino Hotel
126,Cabo San Lucas,MX,78.1,22.8909,-109.9124,clear sky,Comfort Rooms
127,Puerto Escondido,MX,81.43,15.85,-97.0667,broken clouds,Hotel Barlovento
129,Khatanga,RU,-53.5,71.9667,102.5,broken clouds,Хатанга
130,Vao,NC,76.69,-22.6667,167.4833,overcast clouds,Nataiwatch
135,Rio Grande,BR,71.06,-32.035,-52.0986,clear sky,Hotel Vila Moura Executivo
137,Hamilton,US,36.0,39.1834,-84.5333,clear sky,North Vista Manor
139,Kavieng,PG,83.5,-2.5744,150.7967,light rain,Kavieng Hotel
140,Dalian,CN,17.53,38.9122,121.6022,clear sky,incorrectly placed hotel
141,Parabel,RU,13.68,58.6978,81.4825,light snow,Берлога
143,Hithadhoo,MV,80.17,-0.6,73.0833,broken clouds,Pebbles Inn
145,San Cristobal,VE,69.98,7.7669,-72.225,broken clouds,Terra Sur
146,Pedasi,PA,78.28,7.5333,-80.0333,clear sky,Dim's Hostal
147,Atar,MR,67.19,20.5169,-13.0499,clear sky,فندق سكليل
148,Nautla,MX,69.26,20.2167,-96.7833,clear sky,Punta Arena
