,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Alofi,NU,-19.0595,-169.9187,78.69,83,52,5.75,broken clouds
1,Ushuaia,AR,-54.8,-68.3,53.26,58,75,5.75,broken clouds
2,Richards Bay,ZA,-28.783,32.0377,70.97,95,4,5.17,clear sky
3,Vaini,TO,-21.2,-175.2,80.76,94,75,8.05,light intensity drizzle
4,Kaeo,NZ,-35.1,173.7833,72.32,70,24,13.73,few clouds
5,Avarua,CK,-21.2078,-159.775,80.65,69,75,6.91,broken clouds
6,Saint-Augustin,CA,51.226,-58.6502,10.72,84,100,6.69,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,74.43,90,94,24.34,overcast clouds
8,San Patricio,US,28.017,-97.5169,69.89,72,74,19.86,broken clouds
9,Peniche,PT,39.3558,-9.3811,56.1,72,100,20.54,overcast clouds
10,Barrow,US,71.2906,-156.7887,-16.58,76,100,17.27,haze
11,Busselton,AU,-33.65,115.3333,68.65,48,0,16.28,clear sky
12,Lata,PT,40.1629,-8.3327,54.07,78,100,11.16,overcast clouds
13,Klaksvik,FO,62.2266,-6.589,29.32,84,100,28.01,snow
14,Paamiut,GL,61.994,-49.6678,13.35,82,100,26.15,snow
15,Saint George,US,37.1041,-113.5841,48.94,64,0,10.36,clear sky
16,Esperance,AU,-33.8667,121.9,73.47,72,100,19.33,overcast clouds
17,La Ronge,CA,55.1001,-105.2842,14.25,85,75,2.3,light snow
18,Bengkulu,ID,-3.8004,102.2655,79.95,73,38,1.99,scattered clouds
19,Iqaluit,CA,63.7506,-68.5145,-22.27,74,75,2.3,broken clouds
20,Tasiilaq,GL,65.6145,-37.6368,24.96,82,100,18.34,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,78.19,73,9,11.54,clear sky
22,Kintampo,GH,8.0563,-1.7306,76.12,18,0,3.36,clear sky
23,Saskylakh,RU,71.9167,114.0833,-44.99,99,100,3.09,overcast clouds
24,Ponta Do Sol,PT,32.6667,-17.1,63.72,72,54,6.82,broken clouds
25,Olafsvik,IS,64.8945,-23.7142,23.54,69,13,14.67,few clouds
26,Vaitape,PF,-16.5167,-151.75,79.05,75,100,19.6,light rain
27,Kavaratti,IN,10.5669,72.642,79.07,71,48,11.23,scattered clouds
28,Chihuahua,MX,28.5,-106.0,64.2,26,100,19.82,overcast clouds
29,Kulhudhuffushi,MV,6.6221,73.07,79.0,72,95,7.58,overcast clouds
30,Falmouth,GB,50.1544,-5.0711,41.9,93,100,13.8,overcast clouds
31,Sheffield,GB,53.383,-1.4659,39.15,85,99,3.53,overcast clouds
32,Mount Isa,AU,-20.7333,139.5,82.17,61,100,12.66,overcast clouds
33,Georgetown,MY,5.4112,100.3354,82.33,92,20,5.75,few clouds
34,Kapaa,US,22.0752,-159.319,80.92,70,0,5.75,clear sky
35,Castro,BR,-24.7911,-50.0119,64.9,97,86,1.79,overcast clouds
36,Talnakh,RU,69.4865,88.3972,-35.32,88,12,6.4,few clouds
37,Half Moon Bay,US,37.4636,-122.4286,50.31,93,100,11.5,mist
38,Kutum,SD,14.2,24.6667,55.85,29,44,6.17,scattered clouds
39,Bluff,NZ,-46.6,168.3333,66.72,63,6,5.61,clear sky
40,Souillac,MU,-20.5167,57.5167,79.18,78,40,12.66,scattered clouds
41,Lagoa,PT,39.05,-27.9833,54.01,59,23,5.3,few clouds
42,Mataura,NZ,-46.1927,168.8643,81.77,30,3,7.27,clear sky
43,Natal,BR,-5.795,-35.2094,79.45,78,20,8.05,few clouds
44,Goderich,CA,43.7501,-81.7165,30.52,51,100,8.05,overcast clouds
45,Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,20.71,scattered clouds
46,Sao Filipe,CV,14.8961,-24.4956,75.29,67,69,5.7,broken clouds
47,Grand-Santi,GF,4.25,-54.3833,70.56,99,96,2.17,overcast clouds
48,Fortuna,US,40.5982,-124.1573,49.66,89,20,3.0,few clouds
49,Thompson,CA,55.7435,-97.8558,3.36,85,100,5.75,light snow
50,Suntar,RU,62.1444,117.6319,-70.04,100,93,0.78,overcast clouds
51,Rincon,US,32.296,-81.2354,43.86,48,0,0.0,clear sky
52,Pochutla,MX,15.7432,-96.4661,76.82,90,1,2.82,clear sky
53,Kapit,MY,2.0167,112.9333,80.6,79,90,1.07,overcast clouds
54,Zaysan,KZ,47.4667,84.8667,-8.5,88,96,1.45,overcast clouds
55,Tagbac,PH,7.089,125.1567,78.67,87,100,1.7,overcast clouds
56,Ribeira Grande,PT,38.5167,-28.7,50.77,81,16,10.0,few clouds
57,Quatre Cocos,MU,-20.2078,57.7625,78.91,78,31,16.13,scattered clouds
58,Punta Arenas,CL,-53.15,-70.9167,51.91,71,0,25.32,light rain
59,Touros,BR,-5.1989,-35.4608,79.05,77,89,12.77,overcast clouds
60,Jamestown,US,42.097,-79.2353,23.18,71,0,3.44,clear sky
61,Tiksi,RU,71.6872,128.8694,-30.39,100,100,4.41,overcast clouds
62,Lavrentiya,RU,65.5833,-171.0,-5.64,87,97,12.8,overcast clouds
63,Vardo,NO,70.3705,31.1107,33.78,86,100,26.46,light snow
64,Narsaq,GL,60.9167,-46.05,14.22,70,41,17.29,scattered clouds
65,Butaritari,KI,3.0707,172.7902,80.98,78,100,12.71,overcast clouds
66,Oriximina,BR,-1.7656,-55.8661,73.15,93,100,2.8,overcast clouds
67,Meulaboh,ID,4.1363,96.1285,75.56,88,27,3.8,scattered clouds
68,Monterey,US,36.2505,-121.2516,47.17,1,100,6.24,overcast clouds
69,Atuona,PF,-9.8,-139.0333,78.39,73,100,13.2,overcast clouds
70,Albany,US,42.6001,-73.9662,22.37,77,8,5.97,clear sky
71,Malindi,KE,-3.2175,40.1191,76.89,84,69,7.7,broken clouds
72,New Norfolk,AU,-42.7826,147.0587,67.91,36,0,3.0,clear sky
73,Hobart,AU,-42.8794,147.3294,68.27,52,75,11.5,broken clouds
74,Turukhansk,RU,65.8167,87.9833,-19.86,97,100,11.21,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,75.54,95,26,3.0,scattered clouds
76,Upernavik,GL,72.7868,-56.1549,2.01,73,100,4.18,overcast clouds
77,Belmonte,BR,-15.8631,-38.8828,75.52,81,67,5.5,broken clouds
78,Ilulissat,GL,69.2167,-51.1,14.02,79,100,9.22,light snow
79,Erzin,TR,36.9559,36.2,48.72,86,100,5.82,light rain
80,Norman Wells,CA,65.282,-126.8329,-5.76,84,100,0.0,light snow
81,Severo-Kurilsk,RU,50.6789,156.125,16.86,79,100,26.13,light snow
82,Daitari,IN,21.1,85.75,62.67,83,1,2.66,clear sky
83,Yellowknife,CA,62.456,-114.3525,1.92,85,100,4.61,light snow
84,Acapulco,MX,16.8634,-99.8901,80.42,74,20,3.44,few clouds
85,Leningradskiy,RU,69.3833,178.4167,-30.03,100,65,0.89,broken clouds
86,Zalantun,CN,48.0,122.7167,-2.97,69,100,2.28,overcast clouds
87,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,73.83,82,36,2.46,scattered clouds
88,Cape Town,ZA,-33.9258,18.4232,70.21,75,0,20.71,clear sky
89,Muros,ES,42.7762,-9.0603,56.08,87,100,26.44,overcast clouds
90,Bethel,US,41.3712,-73.414,35.51,53,0,10.36,clear sky
91,Houma,US,29.5958,-90.7195,57.2,82,90,4.0,overcast clouds
92,Cidreira,BR,-30.1811,-50.2056,73.11,86,93,8.55,overcast clouds
93,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,42,12.53,light rain
94,Mecca,SA,21.4267,39.8261,69.24,69,30,1.92,scattered clouds
95,Hoquiam,US,46.9809,-123.8893,48.29,95,100,12.66,mist
96,Nieuwpoort,BE,51.1244,2.7735,40.17,87,100,12.66,overcast clouds
97,Popondetta,PG,-8.7537,148.2534,87.85,59,95,6.15,overcast clouds
98,Totness,SR,5.8833,-56.3167,74.82,91,100,8.21,overcast clouds
99,Chokurdakh,RU,70.6333,147.9167,-17.72,90,6,12.39,clear sky
100,Bredasdorp,ZA,-34.5322,20.0403,68.9,85,93,15.17,overcast clouds
101,San Pablo,PH,14.0669,121.3258,76.91,85,100,7.54,overcast clouds
102,Abu Kamal,SY,34.4506,40.9171,50.05,73,100,6.33,overcast clouds
103,Storm Lake,US,42.6411,-95.2097,36.64,93,75,9.22,broken clouds
104,Karratha,AU,-20.7377,116.8463,85.91,65,72,9.73,broken clouds
105,Mar Del Plata,AR,-38.0023,-57.5575,70.09,88,40,8.05,scattered clouds
106,Airai,TL,-8.9266,125.4092,68.61,70,100,2.17,overcast clouds
107,Hermanus,ZA,-34.4187,19.2345,71.8,79,92,18.7,overcast clouds
108,Haines Junction,CA,60.7522,-137.5108,21.63,97,100,2.15,overcast clouds
109,Qaanaaq,GL,77.484,-69.3632,-7.69,61,24,6.89,few clouds
110,Guerrero Negro,MX,27.9769,-114.0611,64.51,73,98,13.47,overcast clouds
111,East London,ZA,-33.0153,27.9116,70.86,88,100,8.03,light rain
112,Noumea,NC,-22.2763,166.4572,87.78,99,76,17.22,broken clouds
113,Sirvintos,LT,55.05,24.95,39.24,90,100,13.6,overcast clouds
114,Camacha,PT,33.0833,-16.3333,60.22,77,40,11.5,light rain
115,Nazarovo,RU,56.0064,90.3914,8.44,91,100,13.02,overcast clouds
116,Wuchang,CN,44.9143,127.15,-1.68,81,5,6.67,clear sky
117,Gornopravdinsk,RU,60.05,69.9,18.34,94,100,11.88,light snow
118,Ketchikan,US,55.3422,-131.6461,37.87,100,75,5.75,mist
