city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2023-01-12 14:49:39,-33.9258,18.4232,298.21,50,20,7.72
1,Ushuaia,AR,2023-01-12 14:51:40,-54.8,-68.3,285.96,58,20,5.66
2,Aksu,CN,2023-01-12 14:51:41,41.1231,80.2644,267.71,91,100,4.21
3,Albany,US,2023-01-12 14:51:21,42.6001,-73.9662,274.43,89,100,1.79
4,Talnakh,RU,2023-01-12 14:51:41,69.4865,88.3972,240.61,96,100,3.53
5,Vila Velha,BR,2023-01-12 14:51:41,-20.3297,-40.2925,304.23,66,20,5.14
6,Shaowu,CN,2023-01-12 14:51:42,27.3409,117.4831,290.16,99,100,0.92
7,Lavrentiya,RU,2023-01-12 14:51:42,65.5833,-171.0,259.39,96,100,2.17
8,Mapiri,BO,2023-01-12 14:51:42,-15.25,-68.1667,302.32,63,77,0.52
9,Bredasdorp,ZA,2023-01-12 14:51:43,-34.5322,20.0403,299.91,37,8,11.93
10,Muros,ES,2023-01-12 14:51:43,42.7762,-9.0603,287.64,76,100,6.44
11,Atuona,PF,2023-01-12 14:51:44,-9.8,-139.0333,298.72,70,68,5.29
12,Mataura,NZ,2023-01-12 14:51:44,-46.1927,168.8643,279.18,99,11,0.53
13,Hithadhoo,MV,2023-01-12 14:51:45,-0.6,73.0833,299.16,78,39,3.63
14,East London,ZA,2023-01-12 14:51:45,-33.0153,27.9116,297.67,94,75,5.14
15,Saint-Philippe,RE,2023-01-12 14:51:45,-21.3585,55.7679,300.92,78,100,4.99
16,Upernavik,GL,2023-01-12 14:51:46,72.7868,-56.1549,251.17,73,99,3.98
17,Aswan,EG,2023-01-12 14:51:46,24.0934,32.907,294.76,28,0,3.09
18,San Cristobal,VE,2023-01-12 14:51:46,7.7669,-72.225,293.25,64,100,2.46
19,Lagoa,PT,2023-01-12 14:51:47,39.05,-27.9833,289.36,91,100,9.61
20,Atbasar,KZ,2023-01-12 14:51:47,51.8,68.3333,256.84,85,99,6.98
21,Aklavik,CA,2023-01-12 14:51:47,68.2191,-135.0107,251.15,77,100,1.54
22,La Trinidad,PH,2023-01-12 14:51:48,16.455,120.5875,287.85,84,89,1.64
23,Rikitea,PF,2023-01-12 14:51:48,-23.1203,-134.9692,298.82,80,12,8.59
24,Torbay,CA,2023-01-12 14:51:48,47.6666,-52.7314,266.42,79,75,8.23
25,Maldonado,UY,2023-01-12 14:51:49,-34.6667,-54.9167,297.81,43,29,5.78
26,Punta Arenas,CL,2023-01-12 14:51:06,-53.15,-70.9167,287.21,62,75,11.83
27,Fortuna,US,2023-01-12 14:51:49,40.5982,-124.1573,290.34,75,40,11.32
28,Hermanus,ZA,2023-01-12 14:51:49,-34.4187,19.2345,299.15,54,4,10.7
29,Wajir,KE,2023-01-12 14:51:50,1.7471,40.0573,308.13,26,20,5.14
30,Petrozavodsk,RU,2023-01-12 14:51:50,61.7849,34.3469,268.85,79,40,5.0
31,Tahe,CN,2023-01-12 14:51:51,52.3333,124.7333,252.61,99,100,1.91
32,Vaini,TO,2023-01-12 14:51:51,-21.2,-175.2,300.24,89,40,5.14
33,Kapaa,US,2023-01-12 14:51:51,22.0752,-159.319,295.33,74,40,3.6
34,Chuy,UY,2023-01-12 14:51:52,-33.6971,-53.4616,300.45,55,15,4.39
35,Oranjemund,NA,2023-01-12 14:51:52,-28.55,16.4333,293.82,71,11,6.46
36,Flagstaff,US,2023-01-12 14:49:43,35.1981,-111.6513,273.96,81,0,0.0
37,Khatanga,RU,2023-01-12 14:51:53,71.9667,102.5,229.51,100,100,1.56
38,Mao,ES,2023-01-12 14:49:58,39.8885,4.2658,288.46,63,20,4.63
39,Qaanaaq,GL,2023-01-12 14:51:53,77.484,-69.3632,252.83,98,100,1.36
40,Busselton,AU,2023-01-12 14:51:53,-33.65,115.3333,290.1,94,1,3.81
41,Awjilah,LY,2023-01-12 14:51:54,29.1081,21.2869,290.91,41,38,5.79
42,Hilo,US,2023-01-12 14:52:58,19.7297,-155.09,295.0,75,75,2.68
43,Puerto Ayora,EC,2023-01-12 14:50:55,-0.7393,-90.3518,299.13,92,72,0.89
44,Beringovskiy,RU,2023-01-12 14:52:58,63.05,179.3167,252.58,98,98,4.46
45,Yellowknife,CA,2023-01-12 14:47:53,62.456,-114.3525,258.44,85,100,6.17
46,Saskylakh,RU,2023-01-12 14:53:00,71.9167,114.0833,236.01,97,100,1.69
47,Chokurdakh,RU,2023-01-12 14:53:01,70.6333,147.9167,237.06,98,100,3.0
48,Padang,ID,2023-01-12 14:53:01,-0.9492,100.3543,298.18,87,99,1.35
49,Avarua,CK,2023-01-12 14:53:02,-21.2078,-159.775,297.18,83,75,1.54
50,Nanortalik,GL,2023-01-12 14:53:02,60.1432,-45.2371,268.64,82,99,3.63
51,Souillac,MU,2023-01-12 14:52:08,-20.5167,57.5167,300.36,65,75,4.63
52,Lebu,CL,2023-01-12 14:48:13,-37.6167,-73.65,288.47,65,36,8.59
53,New Norfolk,AU,2023-01-12 14:53:04,-42.7826,147.0587,289.87,98,41,0.47
54,Victoria,HK,2023-01-12 14:52:40,22.2855,114.1577,295.34,93,81,5.81
55,Bluff,NZ,2023-01-12 14:53:06,-46.6,168.3333,283.65,80,10,2.01
56,Nicoya,CR,2023-01-12 14:53:08,10.1483,-85.452,300.25,64,74,2.59
57,Sechura,PE,2023-01-12 14:53:10,-5.5569,-80.8222,297.55,60,96,3.66
58,Meulaboh,ID,2023-01-12 14:53:13,4.1363,96.1285,298.62,82,99,0.24
59,Flinders,AU,2023-01-12 14:53:14,-34.5833,150.8552,293.36,81,68,1.34
60,Tuljapur,IN,2023-01-12 14:53:15,18.0,76.0833,295.3,24,6,0.82
61,Oriximina,BR,2023-01-12 14:53:17,-1.7656,-55.8661,306.06,45,38,2.09
62,Thinadhoo,MV,2023-01-12 14:53:27,0.5333,72.9333,300.08,72,92,5.32
63,Ponta Do Sol,PT,2023-01-12 14:53:49,32.6667,-17.1,293.77,69,0,2.26
64,Llanes,ES,2023-01-12 14:53:50,43.4198,-4.7549,287.53,65,100,1.93
65,Ribeira Brava,PT,2023-01-12 14:53:50,32.65,-17.0667,293.77,71,0,2.66
66,Hangu,CN,2023-01-12 14:53:59,39.2489,117.7892,275.17,79,100,3.68
67,Kavaratti,IN,2023-01-12 14:53:59,10.5669,72.642,300.51,62,100,2.22
68,Constitucion,CL,2023-01-12 14:54:00,-35.3333,-72.4167,292.84,45,15,6.03
69,Santa Rosa De Viterbo,BR,2023-01-12 14:54:01,-21.4728,-47.3631,295.66,89,98,1.52
70,Tuktoyaktuk,CA,2023-01-12 14:54:24,69.4541,-133.0374,241.15,75,0,3.6
71,Koygorodok,RU,2023-01-12 14:54:25,60.445,50.9968,261.7,91,100,4.33
72,Sarankhola,BD,2023-01-12 14:54:26,22.3082,89.7897,290.14,45,0,1.68
73,San Patricio,US,2023-01-12 14:54:28,28.017,-97.5169,293.1,29,12,7.57
74,Laguna,US,2023-01-12 14:54:28,38.421,-121.4238,286.44,82,0,3.09
75,Broome,US,2023-01-12 14:54:29,42.2506,-75.833,276.87,88,100,4.47
76,Lagoa Vermelha,BR,2023-01-12 14:51:26,-28.2086,-51.5258,305.07,24,0,3.17
77,Saint George,US,2023-01-12 14:51:05,37.1041,-113.5841,275.26,82,0,2.06
78,Eyrarbakki,IS,2023-01-12 14:54:34,63.863,-21.1481,272.18,73,82,5.48
79,Avera,US,2023-01-12 14:54:36,33.194,-82.5271,290.18,91,91,5.61
80,Castro,BR,2023-01-12 14:54:54,-24.7911,-50.0119,296.69,70,100,2.2
81,Kabinda,CD,2023-01-12 14:54:54,-6.1333,24.4833,294.52,79,99,2.02
82,Okhotsk,RU,2023-01-12 14:54:54,59.3833,143.3,242.56,83,18,3.42
83,Angoche,MZ,2023-01-12 14:54:55,-16.2325,39.9086,299.54,82,100,1.89
84,Pyapon,MM,2023-01-12 14:54:55,16.2833,95.6833,295.25,66,0,2.7
85,Camana,PE,2023-01-12 14:54:57,-16.6228,-72.7111,296.43,68,52,4.09
86,Arraial Do Cabo,BR,2023-01-12 14:50:35,-22.9661,-42.0278,304.07,62,0,2.57
87,Can,TR,2023-01-12 14:54:57,40.0333,27.0524,282.71,91,100,2.44
88,Martinsicuro,IT,2023-01-12 14:54:58,42.8811,13.9145,285.34,69,37,6.81
89,Basco,PH,2023-01-12 14:55:58,20.4487,121.9702,298.35,70,99,8.46
90,Camapua,BR,2023-01-12 14:55:59,-19.5314,-54.0439,299.57,72,82,4.98
91,Cherskiy,RU,2023-01-12 14:55:59,68.75,161.3,238.29,100,100,1.55
92,Carnarvon,AU,2023-01-12 14:55:59,-24.8667,113.6333,296.35,75,1,9.16
93,Geraldton,AU,2023-01-12 14:56:00,-28.7667,114.6,294.38,83,0,5.66
94,Tasiilaq,GL,2023-01-12 14:56:00,65.6145,-37.6368,256.7,62,100,2.74
95,Norman Wells,CA,2023-01-12 14:56:00,65.282,-126.8329,255.17,85,100,1.54
96,Tahoua,NE,2023-01-12 14:56:01,14.8888,5.2692,301.14,16,0,3.09
97,Jalu,LY,2023-01-12 14:56:01,29.0331,21.5482,291.08,38,11,4.45
98,Alofi,NU,2023-01-12 14:56:01,-19.0595,-169.9187,299.09,94,24,1.54
99,Longyearbyen,SJ,2023-01-12 14:56:02,78.2186,15.6401,271.06,80,75,5.14
100,Alyangula,AU,2023-01-12 14:56:03,-13.8483,136.4192,300.56,78,97,5.65
101,Buala,SB,2023-01-12 14:56:03,-8.145,159.5921,300.05,78,96,2.88
102,Port Hardy,CA,2023-01-12 14:51:20,50.6996,-127.4199,280.25,93,100,12.86
103,Ojinaga,MX,2023-01-12 14:53:45,29.5667,-104.4167,284.02,25,26,2.92
104,Bintulu,MY,2023-01-12 14:56:05,3.1667,113.0333,298.38,100,20,1.54
105,Maisons-Alfort,FR,2023-01-12 14:56:05,48.8117,2.4395,285.59,85,75,8.75
106,Faya,SA,2023-01-12 14:56:06,18.3851,42.4509,287.21,71,14,3.44
107,Vila Franca Do Campo,PT,2023-01-12 14:56:06,37.7167,-25.4333,289.38,88,99,5.21
108,Pevek,RU,2023-01-12 14:56:07,69.7008,170.3133,243.88,90,5,1.43
109,Morro Bay,US,2023-01-12 14:56:07,35.3658,-120.8499,287.12,63,100,2.24
110,Quatre Cocos,MU,2023-01-12 14:56:08,-20.2078,57.7625,300.21,75,54,5.79
111,Butembo,CD,2023-01-12 14:56:09,0.15,29.2833,291.42,67,99,1.33
112,Tokur,RU,2023-01-12 14:56:09,53.1333,132.9,254.53,98,100,1.93
113,Saint-Augustin,CA,2023-01-12 14:56:09,51.226,-58.6502,259.63,78,25,2.85
114,Babu,CN,2023-01-12 14:56:10,24.4167,111.5167,290.47,98,100,0.71
115,Alcaudete,ES,2023-01-12 14:56:10,37.5909,-4.0824,290.46,60,0,1.78
116,Camocim,BR,2023-01-12 14:52:09,-2.9022,-40.8411,302.93,61,99,4.69
117,Wanaka,NZ,2023-01-12 14:56:11,-44.7,169.15,285.43,76,24,0.45
